# Laturaivo text master (chronological)
# Source: GAME_TEXTS_PLAYER_FACING_CLEAN.txt
# Date: 2026-02-18
# NOTE: FLAVOR_TEXT_ENABLED=false => many flavor lines are hidden by default during gameplay.
# Columns:	ID	STATUS	PHASE	TEXT	PRIMARY_LOCATION	ALL_LOCATIONS
0001	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Preloader	src/scenes/Preloader.ts:10	src/main.ts:637 | src/scenes/Preloader.ts:10
0002	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	[AssetLoadError] type=${...} key=${...} src=${...}	src/scenes/Preloader.ts:23	src/scenes/Preloader.ts:23
0003	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	[PreloaderAudio] loaded=${...}	src/scenes/Preloader.ts:30	src/scenes/Preloader.ts:30
0004	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	[PreloaderAudio] cache-audio-unavailable	src/scenes/Preloader.ts:32	src/scenes/Preloader.ts:32
0005	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Leaderboard init failed:	src/scenes/Preloader.ts:39	src/scenes/Preloader.ts:39
0006	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Auth init failed:	src/scenes/Preloader.ts:40	src/scenes/Preloader.ts:40
0007	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	DailyChallenge init failed:	src/scenes/Preloader.ts:41	src/scenes/Preloader.ts:41
0008	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Tournament init failed:	src/scenes/Preloader.ts:42	src/scenes/Preloader.ts:42
0009	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	[Preloader] Missing texture "${...}", aliased to "${...}"	src/scenes/Preloader.ts:80	src/scenes/Preloader.ts:80
0010	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Fakta: tämä peli ei sisällä yhtään kiireetöntä hetkeä.	src/scenes/Preloader.ts:89	src/scenes/Preloader.ts:89
0011	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Vinkki: jos paniikki nousee, paina silti eteenpäin.	src/scenes/Preloader.ts:90	src/scenes/Preloader.ts:90
0012	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Muistutus: kahvi ei korvaa jarrutusta.	src/scenes/Preloader.ts:91	src/scenes/Preloader.ts:91
0013	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Säävaroitus: paikallista draamaa ladulla.	src/scenes/Preloader.ts:92	src/scenes/Preloader.ts:92
0014	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Päivän mantra: rauha, rytmi, raivo tarvittaessa.	src/scenes/Preloader.ts:93	src/scenes/Preloader.ts:93
0015	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Loading...	src/scenes/Preloader.ts:107	src/scenes/Preloader.ts:107
0016	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	#9fd7ff	src/scenes/Preloader.ts:116	src/scenes/Preloader.ts:116
0017	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	#000000	src/scenes/SplashScene.ts:19	src/entities/Boss.ts:633 | src/entities/Boss.ts:1132 | src/entities/Enemy.ts:403 | src/entities/Enemy.ts:409 | src/entities/LitmanenParody.ts:133 | src/entities/PeterSync.ts:529 | src/entities/PowerUp.ts:273 | src/main.ts:283 | src/scenes/GameCompleteUIScene.ts:155 | src/scenes/GameCompleteUIScene.ts:171 | src/scenes/GameScene.ts:4487 | src/scenes/GameScene.ts:5432 | src/scenes/GameScene.ts:5530 | src/scenes/GameScene.ts:5705 | src/scenes/GameScene.ts:5734 | src/scenes/GameScene.ts:5771 | src/scenes/GameScene.ts:6602 | src/scenes/Preloader.ts:110 | src/scenes/Preloader.ts:117 | src/scenes/SplashScene.ts:19 | src/scenes/UberIntroScene.ts:19 | src/scenes/VictoryCutsceneScene.ts:110 | src/scenes/VictoryCutsceneScene.ts:276 | src/scenes/VictoryCutsceneScene.ts:311 | src/scenes/VictoryCutsceneScene.ts:340 | src/scenes/VictoryCutsceneScene.ts:375 | src/utils.ts:938
0018	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Konsepti - Kenneth Sipilä\nTuotanto - Mikko Antikainen	src/scenes/SplashScene.ts:29	src/scenes/SplashScene.ts:29
0019	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	Napauta ruutua ohittaaksesi	src/scenes/SplashScene.ts:41	src/scenes/SplashScene.ts:41
0020	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	#666666	src/scenes/SplashScene.ts:44	src/scenes/SplashScene.ts:44
0021	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	#ffffff	src/scenes/UberIntroScene.ts:31	src/entities/Boss.ts:712 | src/entities/Boss.ts:952 | src/entities/Boss.ts:1131 | src/entities/Enemy.ts:398 | src/scenes/GameScene.ts:5516 | src/scenes/GameScene.ts:6601 | src/scenes/Preloader.ts:109 | src/scenes/SplashScene.ts:32 | src/scenes/UIScene.ts:3017 | src/scenes/UIScene.ts:3029 | src/scenes/UIScene.ts:3035 | src/scenes/UIScene.ts:3047 | src/scenes/UberIntroScene.ts:31
0022	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	esittää	src/scenes/UberIntroScene.ts:39	src/scenes/UberIntroScene.ts:39
0023	ACTIVE_OR_CONTEXTUAL	01_BOOT_SPLASH	#cccccc	src/scenes/UberIntroScene.ts:42	src/scenes/UberIntroScene.ts:42
